Angle (radians),Range
-1.3035,2.5
-1.2981,2.5
-1.2926,2.5
-1.2872,0
-1.2817,0
-1.2763,2.468
-1.2708,2.468
-1.2654,2.468
-1.2599,2.468
-1.2545,2.444
-1.249,2.444
-1.2435,2.432
-1.2381,2.432
-1.2326,2.428
-1.2272,2.428
-1.2217,2.424
-1.2163,2.424
-1.2108,2.428
-1.2054,2.428
-1.1999,2.432
-1.1945,2.44
-1.189,2.44
-1.1836,2.464
-1.1781,2.464
-1.1726,2.464
-1.1672,2.496
-1.1617,2.496
-1.1563,2.684
-1.1508,2.684
-1.1454,2.684
-1.1399,2.684
-1.1345,2.624
-1.129,2.624
-1.1236,2.576
-1.1181,2.576
-1.1126,0
-1.1072,0
-1.1017,0
-1.0963,0
-1.0908,0
-1.0854,0
-1.0799,0
-1.0745,0
-1.069,0
-1.0636,0
-1.0581,0
-1.0527,0
-1.0472,0
-1.0417,0
-1.0363,0
-1.0308,0
-1.0254,0
-1.0199,0
-1.0145,0
-1.009,0
-1.0036,0
-0.9981,0
-0.9927,0
-0.9872,0
-0.9817,0
-0.9763,0
-0.9708,0
-0.9654,0
-0.9599,0
-0.9545,0
-0.949,0
-0.9436,0
-0.9381,0
-0.9327,0
-0.9272,0
-0.9218,0
-0.9163,0
-0.9108,0
-0.9054,0
-0.8999,0
-0.8945,0
-0.889,0
-0.8836,0
-0.8781,0
-0.8727,0
-0.8672,0
-0.8618,0
-0.8563,0
-0.8508,8.984
-0.8454,8.984
-0.8399,8.984
-0.8345,8.984
-0.829,9.064
-0.8236,9.064
-0.8181,9.064
-0.8127,9.064
-0.8072,9.056
-0.8018,9.056
-0.7963,8.976
-0.7909,8.976
-0.7854,8.944
-0.7799,8.944
-0.7745,8.968
-0.769,8.968
-0.7636,9.216
-0.7581,9.216
-0.7527,9.216
-0.7472,9.216
-0.7418,9.096
-0.7363,9.096
-0.7309,9.112
-0.7254,9.112
-0.7199,9.256
-0.7145,9.256
-0.709,9.4
-0.7036,9.4
-0.6981,9.552
-0.6927,9.552
-0.6872,10.336
-0.6818,10.336
-0.6763,10.336
-0.6709,10.336
-0.6654,0
-0.66,0
-0.6545,10.816
-0.649,10.816
-0.6436,10.816
-0.6381,10.816
-0.6327,10.824
-0.6272,10.824
-0.6218,10.696
-0.6163,10.696
-0.6109,11.088
-0.6054,11.088
-0.6,11.16
-0.5945,11.16
-0.589,11.16
-0.5836,11.16
-0.5781,11.352
-0.5727,11.352
-0.5672,11.584
-0.5618,11.584
-0.5563,0
-0.5509,0
-0.5454,0
-0.54,0
-0.5345,0
-0.5291,0
-0.5236,0
-0.5181,0
-0.5127,0
-0.5072,0
-0.5018,0
-0.4963,0
-0.4909,0
-0.4854,0
-0.48,0
-0.4745,0
-0.4691,0
-0.4636,0
-0.4581,5.528
-0.4527,5.528
-0.4472,5.528
-0.4418,5.528
-0.4363,0
-0.4309,0
-0.4254,5.488
-0.42,5.488
-0.4145,5.488
-0.4091,5.488
-0.4036,5.496
-0.3982,5.496
-0.3927,5.552
-0.3872,5.552
-0.3818,0
-0.3763,0
-0.3709,0
-0.3654,4.48
-0.36,4.48
-0.3545,4.48
-0.3491,4.48
-0.3436,4.416
-0.3382,4.416
