Angle (radians),Range
-3.1416,0
-3.1361,11.984
-3.1307,11.984
-3.1252,11.984
-3.1198,11.984
-3.1143,11.952
-3.1089,11.952
-3.1034,11.928
-3.098,11.928
-3.0925,11.96
-3.0871,11.96
-3.0816,12.04
-3.0761,12.04
-3.0707,7.376
-3.0652,7.376
-3.0598,7.376
-3.0543,7.376
-3.0489,7.32
-3.0434,7.32
-3.038,7.288
-3.0325,7.288
-3.0271,7.264
-3.0216,7.264
-3.0161,7.264
-3.0107,7.264
-3.0052,7.248
-2.9998,7.248
-2.9943,7.232
-2.9889,7.216
-2.9834,7.216
-2.978,7.216
-2.9725,7.216
-2.9671,7.192
-2.9616,7.192
-2.9562,7.496
-2.9507,7.496
-2.9452,7.496
-2.9398,7.496
-2.9343,7.512
-2.9289,7.512
-2.9234,7.472
-2.918,7.472
-2.9125,0
-2.9071,0
-2.9016,0
-2.8962,0
-2.8907,0
-2.8852,0
-2.8798,0
-2.8743,0
-2.8689,0
-2.8634,0
-2.858,0
-2.8525,0
-2.8471,0
-2.8416,0
-2.8362,0
-2.8307,0
-2.8253,0
-2.8198,4.352
-2.8143,4.352
-2.8089,4.352
-2.8034,4.352
-2.798,0
-2.7925,0
-2.7871,4.088
-2.7816,4.088
-2.7762,4.088
-2.7707,4.088
-2.7653,3.984
-2.7598,3.984
-2.7543,3.984
-2.7489,3.984
-2.7434,3.872
-2.738,3.872
-2.7325,3.764
-2.7271,3.764
-2.7216,3.668
-2.7162,3.668
-2.7107,3.564
-2.7053,3.564
-2.6998,3.476
-2.6944,3.476
-2.6889,3.304
-2.6834,3.304
-2.678,3.304
-2.6725,3.304
-2.6671,3.228
-2.6616,3.228
-2.6562,3.156
-2.6507,3.156
-2.6453,3.096
-2.6398,3.096
-2.6344,3.028
-2.6289,3.028
-2.6234,2.968
-2.618,2.968
-2.6125,2.912
-2.6071,2.912
-2.6016,2.852
-2.5962,2.852
-2.5907,0
-2.5853,0
-2.5798,0
-2.5744,0
-2.5689,0
-2.5635,0
-2.558,2.5
-2.5525,2.5
-2.5471,2.5
-2.5416,2.5
-2.5362,0
-2.5307,0
-2.5253,2.44
-2.5198,2.44
-2.5144,2.44
-2.5089,2.44
-2.5035,2.396
-2.498,2.396
-2.4925,2.396
-2.4871,2.396
-2.4816,2.36
-2.4762,2.36
-2.4707,2.324
-2.4653,2.324
-2.4598,2.288
-2.4544,2.288
-2.4489,2.256
-2.4435,2.256
-2.438,2.224
-2.4326,2.192
-2.4271,2.192
-2.4216,2.168
-2.4162,2.168
-2.4107,2.144
-2.4053,2.144
-2.3998,2.112
-2.3944,2.112
-2.3889,2.068
-2.3835,2.068
-2.378,2.036
-2.3726,2.036
-2.3671,2.032
-2.3616,2.032
-2.3562,2.01
-2.3507,2.01
-2.3453,2.004
-2.3398,2.004
-2.3344,0
-2.3289,0
-2.3235,0
-2.318,0
-2.3126,0
-2.3071,0
-2.3017,0
-2.2962,0
-2.2907,0
-2.2853,0
-2.2798,0
-2.2744,0
-2.2689,0
-2.2635,0
-2.258,0
-2.2526,0
-2.2471,0
-2.2417,0
-2.2362,0
-2.2307,0
-2.2253,0
-2.2198,0
-2.2144,0
-2.2089,0
-2.2035,0.51
-2.198,0.51
-2.1926,0.51
-2.1871,0.51
-2.1817,0.503
-2.1762,0.503
-2.1708,0.498
-2.1653,0.494
-2.1598,0.494
-2.1544,0.492
-2.1489,0.492
-2.1435,0.49
-2.138,0.49
-2.1326,0.488
-2.1271,0.488
-2.1217,0.487
-2.1162,0.487
-2.1108,0.488
-2.1053,0.488
-2.0998,0.488
-2.0944,0.488
-2.0889,0.49
-2.0835,0.49
-2.078,0.492
-2.0726,0.492
-2.0671,0.512
-2.0617,0.512
-2.0562,0.512
-2.0508,0
-2.0453,0
-2.0399,0.54
-2.0344,0.54
-2.0289,0.54
-2.0235,0.54
-2.018,0
-2.0126,0.574
-2.0071,0.574
-2.0017,0.574
-1.9962,0.574
-1.9908,0.578
-1.9853,0.578
-1.9799,0.616
-1.9744,0.616
-1.9689,0.616
-1.9635,0.616
-1.958,0.618
-1.9526,0.618
-1.9471,0.62
-1.9417,0.62
-1.9362,0.642
-1.9308,0.642
-1.9253,0.642
-1.9199,0.642
-1.9144,0.648
-1.909,0.648
-1.9035,0.648
-1.898,0.656
-1.8926,0.656
-1.8871,0.664
-1.8817,0.664
-1.8762,0
-1.8708,0
-1.8653,0
-1.8599,0.77
-1.8544,0.77
-1.849,0.77
-1.8435,0.77
-1.838,0.774
-1.8326,0.774
-1.8271,0.774
-1.8217,0.774
-1.8162,0.776
-1.8108,0.776
-1.8053,0.834
-1.7999,0.834
-1.7944,0.834
-1.789,0.834
-1.7835,0.85
-1.7781,0.85
-1.7726,0
-1.7671,0
-1.7617,0
-1.7562,0
-1.7508,0
-1.7453,7.352
-1.7399,7.352
-1.7344,7.352
-1.729,7.352
-1.7235,7.36
-1.7181,7.36
-1.7126,7.072
-1.7072,7.072
-1.7017,7.072
-1.6962,7.072
-1.6908,7.152
-1.6853,7.152
-1.6799,7.224
-1.6744,7.224
-1.669,7.224
-1.6635,7.224
-1.6581,7.184
-1.6526,7.184
-1.6472,7.128
-1.6417,7.128
-1.6362,7.08
-1.6308,7.08
-1.6253,7.088
-1.6199,7.088
-1.6144,7.12
-1.609,7.12
-1.6035,7.12
-1.5981,7.12
-1.5926,7.112
-1.5872,7.112
-1.5817,7.12
-1.5763,7.12
-1.5708,7.128
-1.5653,7.128
-1.5599,7.128
-1.5544,7.128
-1.549,7.064
-1.5435,7.064
