Angle (radians),Range
-1.5381,6.992
-1.5326,6.992
-1.5272,6.992
-1.5217,6.992
-1.5163,0
-1.5108,0
-1.5053,6.984
-1.4999,6.984
-1.4944,6.984
-1.489,6.984
-1.4835,6.968
-1.4781,6.968
-1.4726,6.968
-1.4672,6.968
-1.4617,6.648
-1.4563,6.672
-1.4508,6.672
-1.4454,6.672
-1.4399,6.672
-1.4344,6.712
-1.429,6.712
-1.4235,6.752
-1.4181,6.752
-1.4126,6.752
-1.4072,6.752
-1.4017,6.744
-1.3963,6.744
-1.3908,6.76
-1.3854,6.76
-1.3799,0
-1.3744,0
-1.369,0
-1.3635,0
-1.3581,0
-1.3526,0
-1.3472,0
-1.3417,0
-1.3363,0
-1.3308,0
-1.3254,0
-1.3199,0
-1.3145,0
-1.309,0
-1.3035,0
-1.2981,0
-1.2926,0
-1.2872,2.488
-1.2817,2.488
-1.2763,2.488
-1.2708,2.488
-1.2654,2.46
-1.2599,2.46
-1.2545,2.44
-1.249,2.44
-1.2435,2.428
-1.2381,2.428
-1.2326,2.424
-1.2272,2.424
-1.2217,2.42
-1.2163,2.42
-1.2108,2.424
-1.2054,2.424
-1.1999,2.432
-1.1945,2.432
-1.189,2.444
-1.1836,2.444
-1.1781,2.472
-1.1726,2.472
-1.1672,2.512
-1.1617,2.512
-1.1563,2.664
-1.1508,2.664
-1.1454,2.664
-1.1399,2.664
-1.1345,0
-1.129,0
-1.1236,0
-1.1181,0
-1.1126,0
-1.1072,0
-1.1017,0
-1.0963,0
-1.0908,0
-1.0854,0
-1.0799,0
-1.0745,0
-1.069,0
-1.0636,0
-1.0581,0
-1.0527,0
-1.0472,0
-1.0417,0
-1.0363,0
-1.0308,0
-1.0254,0
-1.0199,0
-1.0145,0
-1.009,0
-1.0036,0
-0.9981,0
-0.9927,0
-0.9872,0
-0.9817,0
-0.9763,0
-0.9708,0
-0.9654,0
-0.9599,0
-0.9545,0
-0.949,0
-0.9436,0
-0.9381,0
-0.9327,0
-0.9272,0
-0.9218,0
-0.9163,0
-0.9108,0
-0.9054,0
-0.8999,0
-0.8945,0
-0.889,0
-0.8836,0
-0.8781,0
-0.8727,0
-0.8672,0
-0.8618,0
-0.8563,9.048
-0.8508,9.048
-0.8454,9.048
-0.8399,9.048
-0.8345,0
-0.829,0
-0.8236,9.056
-0.8181,9.056
-0.8127,9.056
-0.8072,9.056
-0.8018,9.008
-0.7963,9.008
-0.7909,8.936
-0.7854,8.936
-0.7799,8.928
-0.7745,8.928
-0.769,9.256
-0.7636,9.256
-0.7581,9.256
-0.7527,9.256
-0.7472,9.136
-0.7418,9.136
-0.7363,9.184
-0.7309,9.184
-0.7254,9.312
-0.7199,9.312
-0.7145,9.312
-0.709,9.312
-0.7036,9.424
-0.6981,9.424
-0.6927,10.424
-0.6872,10.424
-0.6818,10.424
-0.6763,10.424
-0.6709,10.312
-0.6654,10.312
-0.66,10.272
-0.6545,10.272
-0.649,10.768
-0.6436,10.768
-0.6381,10.744
-0.6327,10.744
-0.6272,10.744
-0.6218,10.744
-0.6163,11.152
-0.6109,11.152
-0.6054,0
-0.6,0
-0.5945,11.208
-0.589,11.208
-0.5836,11.208
-0.5781,11.208
-0.5727,11.424
-0.5672,11.424
-0.5618,0
-0.5563,0
-0.5509,0
-0.5454,0
-0.54,0
-0.5345,0
-0.5291,0
-0.5236,0
-0.5181,0
-0.5127,0
-0.5072,0
-0.5018,0
-0.4963,14.176
-0.4909,14.176
-0.4854,14.176
-0.48,14.176
-0.4745,0
-0.4691,0
-0.4636,5.552
-0.4581,5.552
-0.4527,5.552
-0.4472,5.552
-0.4418,0
-0.4363,0
-0.4309,5.504
-0.4254,5.504
-0.42,5.504
-0.4145,5.504
-0.4091,5.496
-0.4036,5.496
-0.3982,5.512
-0.3927,5.512
-0.3872,5.608
-0.3818,5.608
-0.3763,0
-0.3709,0
-0.3654,18.672
-0.36,18.672
-0.3545,18.672
-0.3491,18.672
-0.3436,0
-0.3382,0
-0.3327,0
-0.3272,0
-0.3218,0
-0.3163,0
-0.3109,0
-0.3054,0
-0.3,16.008
-0.2945,16.008
-0.2891,16.008
-0.2836,16.008
-0.2782,0
-0.2727,0
-0.2673,15.848
-0.2618,15.848
-0.2563,15.848
-0.2509,15.848
-0.2454,0
-0.24,0
-0.2345,9.632
-0.2291,9.632
-0.2236,9.632
-0.2182,9.632
-0.2127,9.64
-0.2073,9.64
-0.2018,0
-0.1963,0
-0.1909,0
-0.1854,0
-0.18,0
-0.1745,0
-0.1691,0
-0.1636,0
-0.1582,0
-0.1527,0
-0.1473,0
-0.1418,0
-0.1364,0
-0.1309,0
-0.1254,0
-0.12,0
-0.1145,0
-0.1091,0
-0.1036,0
-0.0982,0
-0.0927,0
-0.0873,0
-0.0818,0
-0.0764,0
-0.0709,16.256
-0.0654,16.256
-0.06,16.256
-0.0545,16.256
-0.0491,16.568
-0.0436,16.568
-0.0382,0
-0.0327,0
-0.0273,0
-0.0218,0
-0.0164,0
-0.0109,0
-0.0055,0
0.0,0
0.0055,0
0.0109,0
0.0164,0
0.0218,0
0.0273,0
0.0327,0
0.0382,0
0.0436,0
0.0491,0
0.0545,0
0.06,0
0.0654,0
0.0709,0
0.0764,0
0.0818,0
0.0873,0
0.0927,0
0.0982,0
0.1036,0
0.1091,0
0.1145,0
0.12,0
0.1254,0
0.1309,0
0.1364,0
0.1418,0
0.1473,0
0.1527,0
0.1582,0
0.1636,0
0.1691,0
0.1745,0
0.18,0
0.1854,0
0.1909,0
0.1963,0
0.2018,0
0.2073,0
0.2127,0
0.2182,13.616
0.2236,13.616
0.2291,13.616
0.2345,13.616
0.24,0
0.2454,0
0.2509,10.416
0.2563,10.416
0.2618,10.416
0.2673,10.416
0.2727,10.256
0.2782,10.256
0.2836,10.368
0.2891,10.368
0.2945,10.448
0.3,10.448
0.3054,10.472
0.3109,10.472
0.3163,10.568
0.3218,10.568
0.3272,0
0.3327,0
0.3382,0
0.3436,0
0.3491,0
0.3545,0
0.36,0
0.3654,0
0.3709,0
0.3763,0
0.3818,9.632
0.3872,9.632
0.3927,9.632
0.3982,9.632
0.4036,9.712
0.4091,9.712
0.4145,9.784
0.42,9.784
0.4254,9.768
0.4309,9.768
0.4363,9.816
0.4418,9.816
0.4472,9.896
0.4527,9.896
0.4581,0
0.4636,0
0.4691,0
0.4745,0
0.48,0
0.4854,0
0.4909,0
0.4963,0.454
0.5018,0.454
0.5072,0.454
0.5127,0.454
0.5181,0.45
0.5236,0.45
0.5291,0.45
0.5345,0.449
0.54,0.449
0.5454,0.447
0.5509,0.447
0.5563,0.445
0.5618,0.445
0.5672,0.44
0.5727,0.44
0.5781,0.437
0.5836,0.437
0.589,0.435
0.5945,0.435
0.6,0.434
0.6054,0.434
0.6109,0.434
0.6163,0.434
0.6218,0.434
0.6272,0.434
0.6327,0.437
0.6381,0.437
0.6436,0
0.649,0
0.6545,0
0.66,0
0.6654,0
0.6709,0
0.6763,0
0.6818,0
0.6872,0
0.6927,0
0.6981,0
0.7036,0
0.709,0
0.7145,0
0.7199,0
0.7254,0
0.7309,0
0.7363,0
0.7418,0
0.7472,0
0.7527,0
0.7581,0
0.7636,0
0.769,0
0.7745,0
0.7799,0
0.7854,0
0.7909,0
0.7963,0.564
0.8018,0.564
0.8072,0.564
0.8127,0.564
0.8181,0.57
0.8236,0.57
0.829,0.57
0.8345,0.57
0.8399,0.576
0.8454,0.576
0.8508,0.582
0.8563,0.582
0.8618,0.59
0.8672,0.59
0.8727,0.59
0.8781,0
0.8836,0
0.889,0.477
0.8945,0.477
0.8999,0.477
0.9054,0.477
0.9108,0.477
0.9163,0.477
0.9218,0.477
0.9272,0.477
0.9327,0.475
0.9381,0.475
0.9436,0.474
0.949,0.474
0.9545,0.478
0.9599,0.478
0.9654,0.481
0.9708,0.481
0.9763,0.485
0.9817,0.485
0.9872,0.488
0.9927,0.488
0.9981,0.508
1.0036,0.508
1.009,0.502
1.0145,0.502
1.0199,0.502
1.0254,0.502
1.0308,0.492
1.0363,0.492
1.0417,0.486
1.0472,0.486
1.0527,0.485
1.0581,0.485
1.0636,0.484
1.069,0.484
1.0745,0.472
1.0799,0
1.0854,0
1.0908,0
1.0963,0
1.1017,0
1.1072,0
1.1126,0
1.1181,0
1.1236,0
1.129,0
1.1345,0
1.1399,0
1.1454,0
1.1508,0
1.1563,2.96
1.1617,2.96
1.1672,2.96
1.1726,2.96
1.1781,2.928
1.1836,2.928
1.189,2.928
1.1945,2.928
1.1999,2.92
1.2054,2.92
1.2108,2.908
1.2163,2.908
1.2217,2.892
1.2272,2.892
1.2326,2.88
1.2381,2.88
1.2435,2.864
1.249,2.864
1.2545,2.844
1.2599,2.844
1.2654,2.832
1.2708,2.832
1.2763,2.82
1.2817,2.82
1.2872,2.812
1.2926,2.812
1.2981,2.808
1.3035,2.808
1.309,2.8
1.3145,2.8
1.3199,2.796
1.3254,2.796
1.3308,2.788
1.3363,2.788
1.3417,2.78
1.3472,2.78
1.3526,2.772
1.3581,2.772
1.3635,2.764
1.369,2.764
1.3744,2.748
1.3799,2.748
1.3854,2.728
1.3908,2.728
1.3963,2.724
1.4017,2.724
1.4072,2.716
1.4126,2.716
1.4181,2.708
1.4235,2.708
1.429,2.704
1.4344,2.704
1.4399,2.7
1.4454,2.7
1.4508,2.692
1.4563,2.692
1.4617,2.684
1.4672,2.684
1.4726,2.688
1.4781,2.688
1.4835,2.688
1.489,2.688
1.4944,2.68
1.4999,2.68
1.5053,2.676
1.5108,2.676
1.5163,2.672
1.5217,2.672
1.5272,2.664
1.5326,2.664
1.5381,2.656
1.5435,2.656
1.549,2.66
1.5544,2.66
1.5599,2.668
1.5653,2.668
1.5708,2.668
1.5763,2.668
1.5817,2.664
1.5872,2.664
1.5926,2.648
1.5981,2.648
1.6035,2.644
1.609,2.644
1.6144,2.652
1.6199,2.652
1.6253,2.648
1.6308,2.648
1.6362,2.64
1.6417,2.64
1.6472,2.64
1.6526,2.64
1.6581,2.656
1.6635,2.656
1.669,2.656
1.6744,2.656
1.6799,2.656
1.6853,2.66
1.6908,2.66
1.6962,2.664
1.7017,2.664
1.7072,2.668
1.7126,2.668
1.7181,2.676
1.7235,2.676
1.729,2.68
1.7344,2.68
1.7399,2.684
1.7453,2.684
1.7508,2.696
1.7562,2.696
1.7617,2.696
1.7671,2.696
1.7726,2.7
1.7781,2.7
1.7835,2.708
1.789,2.708
1.7944,2.712
1.7999,2.712
1.8053,2.716
1.8108,2.716
1.8162,2.728
1.8217,2.728
1.8271,2.74
1.8326,2.74
1.8381,2.74
1.8435,2.752
1.849,2.764
1.8544,2.764
1.8599,2.764
1.8653,2.776
1.8708,2.776
1.8762,2.776
1.8817,2.776
1.8871,2.784
1.8926,2.792
1.898,2.792
1.9035,2.796
1.909,2.796
1.9144,2.804
1.9199,2.804
1.9253,2.816
1.9308,2.816
1.9362,2.824
1.9417,2.824
1.9471,2.832
1.9526,2.832
1.958,2.84
1.9635,2.84
1.9689,2.856
1.9744,2.856
1.9799,2.876
1.9853,2.876
1.9908,2.892
1.9962,2.892
2.0017,2.904
2.0071,2.904
2.0126,2.916
2.018,2.916
2.0235,0
2.0289,0
2.0344,0
2.0399,3.172
2.0453,3.172
2.0508,3.172
2.0562,3.172
2.0617,3.028
2.0671,3.028
2.0726,3.028
2.078,3.016
2.0835,3.016
2.0889,3.024
2.0944,3.024
2.0998,0
2.1053,3.224
2.1108,3.224
2.1162,3.224
2.1217,3.224
2.1271,3.148
2.1326,3.148
2.138,3.108
2.1435,3.108
2.1489,3.108
2.1544,3.124
2.1598,3.124
2.1653,3.124
2.1708,3.144
2.1762,3.144
2.1817,3.164
2.1871,3.164
2.1926,3.192
2.198,3.192
2.2035,3.22
2.2089,3.236
2.2144,3.236
2.2198,3.26
2.2253,3.26
2.2307,3.284
2.2362,3.284
2.2417,3.308
2.2471,3.308
2.2526,3.336
2.258,3.336
2.2635,3.364
2.2689,3.364
2.2744,3.408
2.2798,3.408
2.2853,3.444
2.2907,3.444
2.2962,3.472
2.3017,3.472
2.3071,3.496
2.3126,3.496
2.318,3.52
2.3235,3.52
2.3289,3.52
2.3344,3.548
2.3398,3.548
2.3453,3.592
2.3507,3.592
2.3562,3.64
2.3616,3.64
2.3671,3.672
2.3726,3.672
2.378,3.704
2.3835,3.704
2.3889,3.736
2.3944,3.736
2.3998,3.78
2.4053,3.78
2.4107,3.828
2.4162,3.828
2.4216,3.876
2.4271,3.876
2.4326,3.928
2.438,3.928
2.4435,3.964
2.4489,3.964
2.4544,4.016
2.4598,0
2.4653,4.24
2.4707,4.24
2.4762,4.24
2.4816,4.24
2.4871,0
2.4925,0
2.498,4.296
2.5035,4.296
2.5089,4.296
2.5144,4.296
2.5198,9.4
2.5253,9.4
2.5307,9.4
2.5362,9.4
2.5416,9.28
2.5471,9.28
2.5525,9.16
2.558,9.16
2.5635,0
2.5689,0
2.5744,0
2.5798,0
2.5853,0
2.5907,0
2.5962,0
2.6016,0
2.6071,0
2.6125,0
2.618,0
2.6234,0
2.6289,10.064
2.6344,10.064
2.6398,10.064
2.6453,10.064
2.6507,8.528
2.6562,8.528
2.6616,8.528
2.6671,8.528
2.6725,8.488
2.678,8.488
2.6834,8.456
2.6889,8.456
2.6944,8.4
2.6998,8.4
2.7053,8.336
2.7107,8.336
2.7162,8.28
2.7216,8.28
2.7271,8.208
2.7325,8.208
2.738,8.184
2.7434,8.184
2.7489,8.216
2.7543,8.216
2.7598,8.2
2.7653,8.2
2.7707,8.152
2.7762,8.152
2.7816,8.112
2.7871,8.112
2.7925,8.096
2.798,8.096
2.8034,8.016
2.8089,8.016
2.8143,0
2.8198,0
2.8253,7.92
2.8307,7.92
2.8362,7.92
2.8416,7.92
2.8471,7.888
2.8525,7.888
2.858,7.888
2.8634,7.888
2.8689,7.848
2.8743,7.848
2.8798,7.808
2.8852,7.808
2.8907,7.728
2.8962,7.728
2.9016,7.64
2.9071,7.64
2.9125,0
2.918,0
2.9234,7.632
2.9289,7.632
2.9343,7.632
2.9398,7.632
2.9452,7.616
2.9507,7.616
2.9562,7.6
2.9616,7.6
2.9671,7.56
2.9725,7.56
2.978,0
2.9834,3.444
2.9889,3.444
2.9943,3.444
2.9998,3.444
3.0052,0
3.0107,0
3.0161,3.276
3.0216,3.276
3.0271,3.276
3.0325,3.276
3.038,0
3.0434,0
3.0489,3.388
3.0543,3.388
3.0598,3.388
3.0652,3.388
3.0707,3.388
3.0761,3.388
3.0816,3.384
3.0871,3.384
3.0925,3.364
3.098,3.364
3.1034,3.348
3.1089,3.348
3.1143,3.336
3.1198,3.336
3.1252,3.324
3.1307,3.324
3.1361,3.332
3.1416,3.332
